"Susceptible","Infected"
1000.0,0.0
1000.0,0.0
994.0,6.0
989.0,11.0
978.0,22.0
936.0,64.0
807.0,193.0
544.0,456.0
315.0,685.0
188.0,812.0
100.0,900.0
52.0,948.0
32.0,968.0
24.0,976.0
15.0,985.0
13.0,987.0
12.0,988.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
9.0,991.0
